Test Number, ShadersTotal, FPS MIN, FPS MAX, FPS AVERAGE, GPU Usage,
1,25,0,0, ,0,0
2,100,29,340,180.4,9.446144,
3,225,5,343,262.68,3.446579,
4,400,50,298,187.34,5.907059,
5,625,41,255,141.3,7.335663,
6,900,42,197,117.64,8.678436,
7,1225,39,210,101.1,10.15472,
8,1600,49,225,100.3,11.61575,
9,2025,37,189,82.22,12.99667,
10,2500,32,166,79.52,13.50784,
11,3025,24,173,76.6,13.79395,
12,3600,25,172,67.1,14.82391,
13,4225,30,162,61.56,18.60046,
14,4900,25,181,58.76,11.71112,
15,5625,24,158,55.08,22.18628,
16,6400,19,115,42.3,9.45282,
