Test Number, ShadersTotal, FPS MIN, FPS MAX, FPS AVERAGE, GPU Usage
1,25,21,345,208.9,7.112741
2,100,62,376,320.76,3.198147
3,225,43,345,250.1,5.695343
4,400,44,283,173.16,4.776001
5,625,48,269,139.22,5.001068
6,900,55,255,125.14,9.595871
7,1225,47,219,102.48,10.55908
8,1600,36,225,101.74,11.76834
9,2025,29,209,84.36,13.237
10,2500,37,220,81.1,14.00375
11,3025,33,205,73.28,15.2092
12,3600,32,192,72.24,17.12418
13,4225,4,178,60.46,18.02063
14,4900,29,178,57.78,20.04242
15,5625,24,146,51.68,23.32306
